longitude;latitude;housing_median_age;total_rooms;total_bedrooms;population;households;median_income;median_house_value
-115.53;32.97;34.0;2231.0;545.0;1568.0;510.0;1.5217;60300.0
-115.53;32.73;14.0;1527.0;325.0;1453.0;332.0;1.735;61200.0
-115.54;32.99;23.0;1459.0;373.0;1148.0;388.0;1.5372;69400.0
-115.54;32.99;17.0;1697.0;268.0;911.0;254.0;4.3523;96000.0
-115.54;32.98;27.0;1513.0;395.0;1121.0;381.0;1.9464;60600.0
-115.54;32.97;41.0;2429.0;454.0;1188.0;430.0;3.0091;70800.0
-115.54;32.79;23.0;1712.0;403.0;1370.0;377.0;1.275;60400.0
-115.55;32.98;33.0;2266.0;365.0;952.0;360.0;5.4349;143000.0
-115.55;32.98;24.0;2565.0;530.0;1447.0;473.0;3.2593;80800.0
-115.55;32.82;34.0;1540.0;316.0;1013.0;274.0;2.5664;67500.0
-115.55;32.8;23.0;666.0;142.0;580.0;160.0;2.1136;61000.0
-115.55;32.79;23.0;1004.0;221.0;697.0;201.0;1.6351;59600.0
-115.55;32.79;22.0;565.0;162.0;692.0;141.0;1.2083;53600.0
-115.55;32.78;5.0;2652.0;606.0;1767.0;536.0;2.8025;84300.0
-115.56;32.96;21.0;2164.0;480.0;1164.0;421.0;3.8177;107200.0
-115.56;32.8;28.0;1672.0;416.0;1335.0;397.0;1.5987;59400.0
-115.56;32.8;25.0;1311.0;375.0;1193.0;351.0;2.1979;63900.0
-115.56;32.8;15.0;1171.0;328.0;1024.0;298.0;1.3882;69400.0
-115.56;32.79;20.0;2372.0;835.0;2283.0;767.0;1.1707;62500.0
-115.56;32.79;18.0;1178.0;438.0;1377.0;429.0;1.3373;58300.0
-115.56;32.78;46.0;2511.0;490.0;1583.0;469.0;3.0603;70800.0
-115.56;32.78;35.0;1185.0;202.0;615.0;191.0;4.6154;86200.0
-115.56;32.78;29.0;1568.0;283.0;848.0;245.0;3.1597;76200.0
-115.56;32.76;15.0;1278.0;217.0;653.0;185.0;4.4821;140300.0
-115.57;32.85;33.0;1365.0;269.0;825.0;250.0;3.2396;62300.0
-115.57;32.85;17.0;1039.0;256.0;728.0;246.0;1.7411;63500.0
-115.57;32.84;29.0;1207.0;301.0;804.0;288.0;1.9531;61100.0
-115.57;32.83;31.0;1494.0;289.0;959.0;284.0;3.5282;67500.0
-115.57;32.8;16.0;2276.0;594.0;1184.0;513.0;1.875;93800.0
-115.57;32.79;34.0;1152.0;208.0;621.0;208.0;3.6042;73600.0
-115.57;32.78;20.0;1534.0;235.0;871.0;222.0;6.2715;97200.0
-115.57;32.78;15.0;1413.0;279.0;803.0;277.0;4.3021;87500.0
-115.58;33.88;21.0;1161.0;282.0;724.0;186.0;3.1827;71700.0
-115.58;32.81;5.0;805.0;143.0;458.0;143.0;4.475;96300.0
-115.58;32.81;10.0;1088.0;203.0;533.0;201.0;3.6597;87500.0
-115.58;32.79;14.0;1687.0;507.0;762.0;451.0;1.6635;64400.0
-115.58;32.78;5.0;2494.0;414.0;1416.0;421.0;5.7843;110100.0
-115.59;32.85;20.0;1608.0;274.0;862.0;248.0;4.875;90800.0
